Symbol,Version,Total_Return,Max_Drawdown,Sharpe_Ratio,Calmar_Ratio,Profit_Factor,Win_Rate,Num_Trades,Avg_Holding_Days
SPY,V3,1.55,2.161266046398173,-0.11730836617928364,0.718112612644188,2.8445050192070442,40.0,10,16.0
NVDA,V3,35.63,15.519933344005699,1.5166758204670567,2.304728182092058,5.960631274365501,27.3,11,29.2
META,V3,19.11,4.059119886915095,1.5593142336659505,4.726761514580158,31.799915798362203,41.7,12,20.333333333333332
GOOGL,V3,8.75,4.782344817793631,0.6126711014193458,1.8352238292045324,2.6116751034468875,28.6,14,16.714285714285715
TSLA,V3,67.03,12.480218960894089,1.82275282942794,5.394571915783734,11.543079093627501,40.0,10,26.0
MSFT,V3,-0.32,9.467312780304034,-0.18382689058525564,-0.03349668346905058,1.1200759933436375,27.8,18,19.11111111111111
AMZN,V3,11.46,7.8087425655991884,0.7534423580332724,1.4727468396448646,3.3898826217473195,25.0,16,17.25
AAPL,V3,2.73,6.267683371306498,0.13540226258921215,0.4376633062546638,1.7279348417338587,21.4,14,15.857142857142858
SPY,V4,4.98,3.8819234424291955,0.5250031645198744,1.2884661968733597,2.197743510184537,28.6,28,15.428571428571429
NVDA,V4,89.82,18.780838251550755,2.319101337116878,4.804834565262874,9.112482434951485,30.8,13,33.5
META,V4,44.97,10.092621414382421,1.5622678982618694,4.474489961374448,4.187659238347953,27.8,18,21.555555555555557
GOOGL,V4,20.75,7.2450975361554075,1.081105867306167,2.8743779400176175,4.449826528846574,35.0,20,19.2
TSLA,V4,60.84,17.23745350414688,1.338960960882805,3.544584493139686,3.8071396181449195,27.8,18,23.666666666666668
MSFT,V4,5.76,9.231966835219351,0.36281846165326875,0.6260952199312944,1.5031974551087754,30.0,20,20.2
AMZN,V4,19.11,8.430610707643893,1.0310653729849883,2.274763568714694,3.6777728090739967,27.3,22,18.636363636363637
AAPL,V4,7.02,8.958516387403007,0.43153996802469746,0.7867540235346018,1.6375512132796428,20.8,24,17.916666666666668
SPY,V1,2.7,3.1622367216807707,0.19379498404889228,0.8564706170730426,1.7573706985885464,25.0,24,13.333333333333334
NVDA,V1,67.59,15.733584177546318,2.255097868051993,4.314851826810725,9.112482434951485,30.8,13,33.5
META,V1,8.27,7.50808671290864,0.6433715767054349,1.1053836287083607,1.931914229601336,31.2,16,17.375
GOOGL,V1,16.45,5.967924939773562,1.1691612623456433,2.766367108875203,5.235317198344532,37.5,16,20.75
TSLA,V1,54.87,11.604374890534316,1.7264757395514883,4.748361090336419,15.647226364639884,37.5,8,28.0
MSFT,V1,3.22,6.973768665422403,0.17371452963901865,0.46345489879149604,1.344188788374166,27.8,18,19.88888888888889
AMZN,V1,13.24,5.126227142928269,0.9337478317717818,2.5928748232306584,3.894929763159607,25.0,20,17.5
AAPL,V1,-3.83,6.998961181883251,-0.77576832040065,-0.5493462234423984,0.3957619656314898,18.8,16,12.375
SPY,V2,1.89,2.3343479836754493,-0.011006802464812145,0.8119429478978735,2.8445050192070442,40.0,10,16.0
NVDA,V2,24.71,17.45162836310125,1.124489825276563,1.4212633577189047,4.943788739907949,22.2,9,31.0
META,V2,41.42,4.619519565433065,1.9314913098919335,9.003830323621559,68.06652459888085,40.0,10,24.8
GOOGL,V2,9.05,5.260423315837056,0.6194457331721255,1.7257056153532326,2.4796258976682615,25.0,12,15.0
TSLA,V2,39.98,12.312379898258284,1.250282347489387,3.2600655232723725,6.886216135465139,37.5,8,23.75
MSFT,V2,-5.63,9.637953565939572,-0.8377798731467675,-0.5864677227331749,0.3610161781220256,20.0,10,17.2
AMZN,V2,6.09,8.53660408154002,0.3878404750401217,0.7159228533138754,2.644115660779365,30.0,10,17.0
AAPL,V2,5.49,5.971001815283375,0.5127663965881366,0.9221907130694579,2.5165804675143497,25.0,8,23.25
SPY,V0,6.86,4.734602996765927,0.6811839520209935,1.4549575346673764,2.197743510184537,28.6,28,15.428571428571429
NVDA,V0,106.73,22.02342019724661,2.3158222724836146,4.869822837166254,9.112482434951485,30.8,13,33.5
META,V0,46.02,12.104678458292211,1.4916736021626236,3.8175526684542,4.187659238347953,27.8,18,21.555555555555557
GOOGL,V0,24.49,8.333949103049337,1.1436455046422642,2.9501601486603724,4.449826528846574,35.0,20,19.2
TSLA,V0,69.51,18.812056524973702,1.362593399926007,3.711169324315166,3.8071396181449195,27.8,18,23.666666666666668
MSFT,V0,5.76,11.43161222980096,0.3267437838996017,0.505941184845236,1.5031974551087754,30.0,20,20.2
AMZN,V0,22.98,9.437482651848374,1.084486067741933,2.444042801338387,3.6777728090739967,27.3,22,18.636363636363637
AAPL,V0,8.73,10.066103265645552,0.48754665599984714,0.8705167385945012,1.6375512132796428,20.8,24,17.916666666666668
